TABELA DE SIMBOLOS - "teste-01.ptg"

+-----+----------------+------------------+-----------------------------------------------------------------------+
| POS | TOKEN          | LEXEMA           | POS NA ENTRADA (linha,coluna)                                         |
+-----+----------------+------------------+-----------------------------------------------------------------------+
|  18 | tk_IDEN        | xpasso1          | ( 22, 18)                                                             |
|  23 | tk_INTEIRO     | 1234567890       | ( 19, 27) ( 20, 18)                                                   |
|  39 | tk_IDEN        | s                | ( 22, 26)                                                             |
|  53 | tk_IDEN        | ate9passo        | ( 23, 12)                                                             |
|  60 | tk_IDEN        | num              | (  2,  8) (  6,  9) (  9,  7) (  9, 20) ( 10, 14) ( 12, 12) ( 21,  3) |
|  63 | tk_DECIMAL     | .12              | ( 19, 14) ( 20,  9)                                                   |
|  67 | tk_IDEN        | nUm              | (  3,  8) (  7,  9) (  9, 12) ( 12,  7) ( 12, 20) ( 13, 14) ( 20,  3) |
|  73 | tk_CADEIA      | "Maior = "       | ( 17, 12)                                                             |
|  90 | tk_DECIMAL     | .0               | ( 19, 41) ( 20, 30)                                                   |
|  91 | tk_INTEIRO     | 1                | ( 22, 13) ( 24, 13) ( 24, 30)                                         |
| 110 | tk_IDEN        | paraide1         | ( 23,  3)                                                             |
| 111 | tk_DECIMAL     | .3               | ( 23, 25)                                                             |
| 123 | tk_DECIMAL     | 12345.67890      | ( 19, 52) ( 20, 37)                                                   |
| 125 | tk_INTEIRO     | 001              | ( 19, 21) ( 20, 14)                                                   |
| 130 | tk_IDEN        | Maior            | (  4,  8) ( 15,  5) ( 18, 12)                                         |
| 144 | tk_IDEN        | maior            | ( 10,  5)                                                             |
| 149 | tk_IDEN        | NuM              | (  3, 13) (  8,  9) (  9, 25) ( 12, 25) ( 15, 14) ( 19,  3)           |
| 160 | tk_IDEN        | MAIOR            | ( 13,  5)                                                             |
| 178 | tk_DECIMAL     | 9.               | ( 24, 18)                                                             |
| 188 | tk_DECIMAL     | 0.               | ( 19, 47) ( 20, 34) ( 24, 21)                                         |
| 203 | tk_CADEIA      | "Digite 3 nros:" | (  5, 12)                                                             |
| 211 | tk_DECIMAL     | 1.2              | ( 23, 22)                                                             |
| 226 | tk_IDEN        | i                | ( 24,  8)                                                             |
| 233 | tk_IDEN        | j                | ( 24, 32)                                                             |
+-----+----------------+------------------+-----------------------------------------------------------------------+
